!sil	SIL
'c'que	s k
mordoré	m ɔ ʁ d ɔ ʁ e
mordra	m ɔ ʁ d ʁ a
mordrais	m ɔ ʁ d ʁ ɛ
mordras	m ɔ ʁ d ʁ a
mordre	m ɔ ʁ d ʁ
mords	m ɔ ʁ
mordu	m ɔ ʁ d y
mordue	m ɔ ʁ d y
moreau	m ɔ ʁ o
moreau-christophe	m o ʁ o k ʁ i s t ɔ f
moreau-pichegru-cadoudal	m o ʁ o p i k e ɡ ʁ u k a d u d a l
morel	m ɔ ʁ ɛ l
morel-a-l'huissier	m ɔ ʁ ɛ l a l ɥ i s j e
morel-payen	m ɔ ʁ ɛ l p e j ɛ̃
morelle	m o ʁ ɛ l
morellet	m ɔ ʁ ɛ l ɛ
moret	m ɔ ʁ ɛ
moretti	m ɔ ʁ ɛ t i
moreuil	m o ʁ œ j
morez	m o ʁ e
morfal	m ɔ ʁ f a l
morfil	m ɔ ʁ f i l
morfles	m ɔ ʁ f l
morflé	m ɔ ʁ f l e
morfondre	m ɔ ʁ f ɔ̃ d ʁ
morgan	m ɔ ʁ ɡ a n
morganatiques	m ɔ ʁ ɡ a n a t i k
morgane	m ɔ ʁ ɡ a n
morganes	m ɔ ʁ ɡ a n
morgat	m ɔ ʁ ɡ a
morgenex	m ɔ ʁ ʒ ə n ɛ k s
morgny	m ɔ ʁ ɲ i
morgny-la-pommeraye	m ɔ ʁ ɲ i l a p ɔ m ʁ ɛ j
morgue	m ɔ ʁ ɡ
morhange	m ɔ ʁ ɑ̃ ʒ
moribonde	m ɔ ʁ i b ɔ̃ d
moribonds	m ɔ ʁ i b ɔ̃
moricaud	m ɔ ʁ i k o
moricauds	m ɔ ʁ i k o
moriceau	m ɔ ʁ i s o
moricet	m ɔ ʁ i s ɛ
moricq	m ɔ ʁ i k ɔ̃ k
morier	m ɔ ʁ j e
moriez	m ɔ ʁ j e
morifosse	m ɔ ʁ i f ɔ s
morilles	m ɔ ʁ i j
morillon	m ɔ ʁ i j ɔ̃
morin	m ɔ ʁ ɛ̃
morin-védrines	m ɔ ʁ i n v e d ʁ i n
morinière	m ɔ ʁ i n j ɛ ʁ
morion	m ɔ ʁ j ɔ̃
morionnes	m ɔ ʁ j o n
morlaix	m ɔ ʁ l ɛ
morlaàs	m ɔ ʁ l ɛ a ɛ s
morlière	m ɔ ʁ l j ɛ ʁ
morne	m ɔ ʁ n
mornes	m ɔ ʁ n
morose	m ɔ ʁ o z
morottes	m ɔ ʁ ɔ t
morphelle	m ɔ ʁ f ɛ l
morpho	m ɔ ʁ f o
morphologie	m ɔ ʁ f ɔ l ɔ ʒ i
morpion	m ɔ ʁ p j ɔ̃
morre	m o ʁ
morrel	m o ʁ ɛ l
mors	m ɔ ʁ s
morsang-sur-orge	m ɔ ʁ s ɑ̃ s y ʁ ɔ ʁ ʒ
morse	m ɔ ʁ s
morses	m ɔ ʁ s
morsure	m ɔ ʁ s y ʁ
morsures	m ɔ ʁ s y ʁ
mort	m ɔ ʁ
mort-aux-rats	m ɔ ʁ o ʁ a
mort-dieu	m ɔ ʁ d j ø
mort-là	m ɔ ʁ l a
mort-nés	m ɔ ʁ n e
morta	m ɔ ʁ t a
mortagne	m ɔ ʁ t a ɲ
mortagne-au-perche	m ɔ ʁ t a ɲ o p ɛ ʁ ʃ
mortagne-sur-sèvre	m ɔ ʁ t a ɲ s y ʁ s ɛ v ʁ
mortaises	m ɔ ʁ t ɛ z
mortaisées	m ɔ ʁ t ɛ z e
mortalité	m ɔ ʁ t a l i t e
morte	m ɔ ʁ t
morteau	m ɔ ʁ t o
mortel	m ɔ ʁ t ɛ l
mortelle	m ɔ ʁ t ɛ l
mortellement	m ɔ ʁ t ɛ l m ɑ̃
mortellerie	m ɔ ʁ t ɛ l ʁ i
mortelles	m ɔ ʁ t ɛ l
mortels	m ɔ ʁ t ɛ l
mortes	m ɔ ʁ t
mortier	m ɔ ʁ t j e
mortiers	m ɔ ʁ t j e
mortifiant	m ɔ ʁ t i f j ɑ̃
mortifiante	m ɔ ʁ t i f j ɑ̃ t
mortification	m ɔ ʁ t i f i k a s j ɔ̃
mortifié	m ɔ ʁ t i f j e
mortin	m ɔ ʁ t ɛ̃
mortières	m ɔ ʁ t j ɛ ʁ
mortou	m ɔ ʁ t u
mortry	m ɔ ʁ t ʁ i
morts	m ɔ ʁ
morts-vivants	m ɔ ʁ v i v ɑ̃
mortuaire	m ɔ ʁ t ɥ ɛ ʁ
mortuaires	m ɔ ʁ t ɥ ɛ ʁ
morue	m ɔ ʁ y
morues	m ɔ ʁ y
morvan	m ɔ ʁ v ɑ̃
morvaux	m ɔ ʁ v o
morve	m ɔ ʁ v
morvran	m ɔ ʁ v ʁ ɑ̃
morwena	m ɔ ʁ w e n a
morwenna	m ɔ ʁ w ɛ n a
mory	m ɔ ʁ i
morzine	m ɔ ʁ z i n
mos-croisés	m o k ʁ w a z e
mosaïque	m ɔ z a i k
mosaïques	m ɔ z a i k
moscou	m ɔ s k u
moscovici	m ɔ s k ɔ v i s i
moscovite	m ɔ s k ɔ v i t
moscovites	m ɔ s k ɔ v i t
mosdok	m o d ɔ k
moselle	m ɔ z ɛ l
moser	m o z e
mosnac	m o n a k
mosnes	m o n
mosny	m o n i
mosquee	m ɔ s k w i
mosquitos	m ɔ s k w i t o
mosquée	m ɔ s k e
mosquées	m ɔ s k e
moss	m ɔ s
mossenya	m ɔ s e n j a
mossoul	m ɔ s u l
mostaganem	m ɔ s t a ɡ a n ɛ m
mot	m o
mot-là	m o l a
motala	m ɔ t a l a
motards	m ɔ t a ʁ
motchés	m o t ʃ e
motel	m ɔ t ɛ l
motelle	m ɔ t ɛ l
moteur	m ɔ t œ ʁ
moteurs	m ɔ t œ ʁ
mothe	m ɔ t
mother	m ɔ t e
motif	m ɔ t i f
motifs	m ɔ t i f
motin	m ɔ t ɛ̃
motion	m o s j ɔ̃
motiv	m ɔ t i v
motiva	m ɔ t i v a
motivaient	m ɔ t i v ɛ
motivait	m ɔ t i v ɛ
motivant	m ɔ t i v ɑ̃
motivation	m o t i v a s j ɔ̃
motivations	m ɔ t i v a s j ɔ̃
motivations-là	m ɔ t i v a s j ɔ̃ l a
motive	m ɔ t i v
motivent	m ɔ t i v
motiver	m ɔ t i v e
motivé	m ɔ t i v e
motivée	m ɔ t i v e
motivées	m ɔ t i v e
motivés	m ɔ t i v e
moto	m o t o
moto-cross	m ɔ t ɔ k ʁ ɔ s
moto-pompes	m ɔ t ɔ p ɔ̃ p
motoculteurs	m ɔ t ɔ k y l t œ ʁ
motos	m o t o
motrice	m ɔ t ʁ i s
motrices	m ɔ t ʁ i s
motricité	m ɔ t ʁ i s i t e
motricités	m ɔ t ʁ i s i t e
mots	m o
mots-clefs	m o k l e
mots-croisés	m o k ʁ w a z e
mots-là	m o l a
motte	m ɔ t
motte-d'aveillans	m ɔ t d a v ɛ j ɑ̃
motte-servolex	m o t s ɛ ʁ v ɔ l ɛ k s
mottes	m ɔ t
mottet	m ɔ t ɛ
motus	m ɔ t y s
motz	m o t s
mou	m u
mouais	m w ɛ
moucha	m u ʃ a
mouchage	m u ʃ a ʒ
mouchait	m u ʃ ɛ
mouchard	m u ʃ a ʁ
moucharder	m u ʃ a ʁ d e
mouchards	m u ʃ a ʁ
mouche	m u ʃ
moucher	m u ʃ e
moucheron	m u ʃ ʁ ɔ̃
moucherons	m u ʃ ʁ ɔ̃
mouches	m u ʃ
mouchetait	m u ʃ ə t ɛ
mouchettes	m u ʃ ɛ t
mouchetures	m u ʃ t y ʁ
moucheté	m u ʃ ə t e
mouchetées	m u ʃ ə t e
mouchetés	m u ʃ ə t e
mouchin	m u ʃ ɛ̃
mouchoir	m u ʃ w a ʁ
mouchoirs	m u ʃ w a ʁ
moud	m u
moudir	m u d i ʁ
moudre	m u d ʁ
moue	m u
mouette	m w ɛ t
mouettes	m w ɛ t
mouffetard	m u f t a ʁ
mouffle	m u f l
moufia	m u f j a
mouflons	m u f l ɔ̃
mougeot	m u ʒ o
mougins	m u ɡ i n
mougon	m u ɡ ɔ̃
mouhers	m u ɛ ʁ
moui	m w i
mouilla	m u j a
mouillage	m u j a ʒ
mouillaient	m u j ɛ
mouillait	m u j ɛ
mouillant	m u j ɑ̃
mouille	m u j
mouillebec	m u j b ɛ k
mouillent	m u j
mouiller	m u j e
mouillerait-il	m u j ə ʁ ɛ t i l
mouilles	m u j
mouillette	m u j ɛ t
mouillère	m u j ɛ ʁ
mouillères	m u j ɛ ʁ
mouillé	m u j e
mouillée	m u j e
mouillées	m u j e
mouillés	m u j e
moulage	m u l a ʒ
moulait	m u l ɛ
moulant	m u l ɑ̃
moulante	m u l ɑ̃ t
moulants	m u l ɑ̃
moule	m u l
mouler	m u l e
moulerens	m u l ʁ ɛ n
moules	m u l
moulin	m u l ɛ̃
moulin-des-prés	m u l ɛ̃ d e p ʁ e
moulin-neuf	m u l ɛ̃ n œ f
moulin-rouge	m u l ɛ̃ ʁ u ʒ
moulines	m u l i n
moulinet	m u l i n ɛ
moulinets	m u l i n ɛ
moulinette	m u l i n ɛ t
moulins	m u l ɛ̃
mouliots	m u l j o
moulois	m u l w a
moulon	m u l ɔ̃
moultes	m u l t
moulu	m u l y
moulue	m u l y
moulure	m u l y ʁ
moulures	m u l y ʁ
moulus	m u l y
mouly	m u l i
moulé	m u l e
moulées	m u l e
moumout	m u m u t
moumoute	m u m u t
moumoutes	m u m u t
mouna-rea	m u n a ʁ e a
moune	m u n
mounette	m u n ɛ t
mourad-bey	m u ʁ a d b ɛ
mouraient	m u ʁ ɛ
mourais	m u ʁ ɛ
mourait	m u ʁ ɛ
mourant	m u ʁ ɑ̃
mourante	m u ʁ ɑ̃ t
mourantes	m u ʁ ɑ̃ t
mourants	m u ʁ ɑ̃
mouratet	m u ʁ a t ɛ
moure	m u ʁ
mouret	m u ʁ ɛ
mourez	m u ʁ e
mourions	m u ʁ j ɔ̃
mourioux	m u ʁ j u
mourioux-vieilleville	m u ʁ j u v j ɛ j v i l
mourir	m u ʁ i ʁ
mourland	m u ʁ l ɑ̃ d
mourmelon	m u ʁ m ə l ɔ̃
mouroirs	m u ʁ w a ʁ
mouron	m u ʁ ɔ̃
mourons	m u ʁ ɔ̃
mouroux	m u ʁ u
mourra	m u ʁ ʁ a
mourrai	m u ʁ ʁ e
mourraient	m u ʁ ʁ ɛ
mourrais	m u ʁ ʁ ɛ
mourrait	m u ʁ ʁ ɛ
mourrait-il	m u ʁ ʁ ɛ t i l
mourras	m u ʁ ʁ a
mourrez	m u ʁ ʁ e
mourriez	m u ʁ ʁ j e
mourrons	m u ʁ ʁ ɔ̃
mourront	m u ʁ ʁ ɔ̃
moururent	m u ʁ y ʁ
mourut	m u ʁ y
mourvenc	m u ʁ v ɑ̃
mourût	m u ʁ y
mous	m u
mousquet	m u s k ɛ
mousquetaires	m u s k ə t ɛ ʁ
mousqueterie	m u s k ɛ t ʁ i
mousqueton	m u s k ə t ɔ̃
mousquets	m u s k ɛ
mouss	m u s
moussa	m u s a
moussait	m u s ɛ
moussaka	m u s a k a
moussan	m u s ɑ̃
moussant	m u s ɑ̃
mousse	m u s
mousseau	m u s o
mousseline	m u s ə l i n
mousselines	m u s l i n
mousser	m u s e
mousseron	m u s ə ʁ ɔ̃
mousserons	m u s ə ʁ ɔ̃
mousses	m u s
mousseux	m u s ø
moussey	m u s ɛ
moussilimou	m u s i l i m u
mousson	m u s ɔ̃
moussons	m u s ɔ̃
moussue	m u s y
moussues	m u s y
moussus	m u s y
moussy	m u s i
moustache	m u s t a ʃ
moustaches	m u s t a ʃ
moustesarif	m u s t e s a ʁ i f
moustiquaire	m u s t i k ɛ ʁ
moustique	m u s t i k
moustiques	m u s t i k
moutard	m u t a ʁ
moutarde	m u t a ʁ d
moutardes	m u t a ʁ d
moutards	m u t a ʁ
moutaudière	m u t o d j ɛ ʁ
moutelles	m u t ɛ l
mouterhouse	m u t ɛ ʁ a u z
moutet	m u t ɛ
mouthier	m u t j e
moutier	m u t j e
moutié	m u t j e
mouton	m u t ɔ̃
mouton-duvernet	m u t ɔ̃ d y v ɛ ʁ n ɛ
moutonne	m u t ɔ n
moutonneux	m u t ɔ n ø
moutonnière	m u t ɔ n j ɛ ʁ
moutons	m u t ɔ̃
moutte	m u t
mouty	m u t i
mouvaient	m u v ɛ
mouvait	m u v ɛ
mouvance	m u v ɑ̃ s
mouvant	m u v ɑ̃
mouvante	m u v ɑ̃ t
mouvantes	m u v ɑ̃ t
mouvants	m u v ɑ̃
mouvement	m u v m ɑ̃
mouvements	m u v m ɑ̃
mouvements-là	m u v m ɑ̃ l a
mouvementé	m u v m ɑ̃ t e
mouvementée	m u v m ɑ̃ t e
mouvoir	m u v w a ʁ
mouvraient	m u v ʁ ɛ
mouy	m w i
mouzaïa	m u z a j a
mouzdalifa	m u z d a l i f a
mouzeuil-saint-martin	m u z œ j s ɛ̃ m a ʁ t ɛ̃
move	m ɔ v
movie	m u v i
mowgli	m o ɡ l i
moy	m w a
moya	m w a j a
moyen	m w a j ɛ̃
moyen-age	m w a j ɛ n a ʒ
moyen-là	m w a j ɛ̃ l a
moyenmoutier	m w a j ɛ̃ m u t j e
moyennant	m w a j e n ɑ̃
moyenne	m w a j ɛ n
moyennement	m w a j ɛ n m ɑ̃
moyenner	m w a j ɛ n e
moyennes	m w a j ɛ n
moyens	m w a j ɛ̃
moyenâgeuse	m w a j ɛ n a ʒ ø z
moyenâgeux	m w a j ɛ n a ʒ ø
moyerfor	m w a j ɛ ʁ f ɔ ʁ
moyeu	m w a j ø
moyne	m o i n
mozambique	m ɔ z ɑ̃ b i k
mozart	m ɔ z a ʁ
mozaïque	m ɔ z a i k
moët	m w a
moïse	m ɔ i z
mpt	ɛ m p e t e
mr	m i s t œ ʁ
mrobier	ɛ m ɛ ʁ ɔ b j e
mrs	m i s i z
msaidie	m s ɛ d i
msg	m s ɡ
msn	ɛ m ɛ s ɛ n
mstcf	ɛ m ɛ s t e s e ɛ f
mu	m y
muait	m ɥ ɛ
mucelière	m y s ə l j ɛ ʁ
much	m y ʃ
muchir	m y ʃ i ʁ
mucilage	m y s i l a ʒ
mucilagineuse	m y s i l a ʒ i n ø z
mucilagineux	m y s i l a ʒ i n ø
mucosités	m y k ɔ z i t e
mucus	m y k y s
mue	m y
mues	m y
muet	m ɥ ɛ
muets	m ɥ ɛ
muette	m ɥ ɛ t
muettes	m ɥ ɛ t
muezzins	m ɥ ɛ d z i n
muffins	m œ f i n
muffling	m y f l i ŋ
mufle-là	m y f l l a
mufles	m y f l
mugel	m y ʒ ɛ l
muges	m y ʒ
mugilomores	m y ʒ i l ɔ m ɔ ʁ
mugir	m y ʒ i ʁ
mugissait	m y ʒ i s ɛ
mugissant	m y ʒ i s ɑ̃
mugissantes	m y ʒ i s ɑ̃ t
mugissement	m y ʒ i s m ɑ̃
mugissements	m y ʒ i s m ɑ̃
mugnier	m y ɡ n j e
mugron	m y ɡ ʁ ɔ̃
muguet	m y ɡ ɛ
muguets	m y ɡ ɛ
muguette	m y ɡ ɛ t
muhlbach-sur-munster	m ɥ l b a ʃ s y ʁ m œ̃ s t ɛ ʁ
muioc	m ɥ i ɔ k
muiron	m ɥ i ʁ ɔ̃
mul	m u l
mule	m y l
mule-jenny	m u l e ʒ ɛ n i
mules	m y l
mulet	m y l ɛ
mulets	m y l ɛ
mulhdorf	m y l d ɔ ʁ f
mulhouse	m y l u z
mulle	m y l
mulles	m y l
mulons	m y l ɔ̃
mulot	m y l o
mulsanne	m y l s a n
multi	m y l t i
multi-facettes	m y l t i f a s ɛ t
multi-fonctions	m y l t i f ɔ̃ k s j ɔ̃
multi-machin	m y l t i m a ʃ ɛ̃
multicarte	m y l t i k a ʁ t
multicolore	m y l t i k ɔ l ɔ ʁ
multicolores	m y l t i k ɔ l ɔ ʁ
multiculturel	m y l t i k y l t y ʁ ɛ l
multiculturelle	m y l t i k y l t y ʁ ɛ l
multiculturelles	m y l t i k y l t y ʁ ɛ l
multiethnique	m y l t i e t n i k
multilingue	m y l t i l ɛ̃ ɡ
multilinguisme	m y l t i l ɛ̃ ɡ ɥ i s m
multilobées	m y l t i l ɔ b e
multimédia	m y l t i m e d j a
multimédias	m y l t i m e d j a
multinationales	m y l t i n a s j ɔ n a l
multiple	m y l t i p l
multiples	m y l t i p l
multiplexes	m y l t i p l ɛ k s
multiplia	m y l t i p l i j a
multipliaient	m y l t i p l i j ɛ
multipliait	m y l t i p l i j ɛ
multipliant	m y l t i p l i j ɑ̃
multiplication	m y l t i p l i k a s j ɔ̃
multiplications	m y l t i p l i k a s j ɔ̃
multiplicité	m y l t i p l i s i t e
multiplie	m y l t i p l i
multiplient	m y l t i p l i
multiplier	m y l t i p l i j e
multipliez	m y l t i p l i j e
multiplièrent	m y l t i p l i j ɛ ʁ
multiplié	m y l t i p l i j e
multipliée	m y l t i p l i j e
multipliées	m y l t i p l i j e
multipliés	m y l t i p l i j e
multiprise	m y l t i p ʁ i z
multiprises	m y l t i p ʁ i z
multiracial	m y l t i ʁ a s j a l
multitude	m y l t i t y d
multitudes	m y l t i t y d
multivitaminé	m y l t i v i t a m i n e
mulâtresses	m y l a t ʁ ɛ s
mum	m u m
mundo	m u n d o
mundustenea	m u n d u s t e n e a
muni	m y n i
munic	m y n i k
munich	m y n i k
munici	m y n i s i
municipa	m y n i s i p a
municipal	m y n i s i p a l
municipale	m y n i s i p a l
municipales	m y n i s i p a l
municipalité	m y n i s i p a l i t e
municipalités	m y n i s i p a l i t e
municipaux	m y n i s i p o
municipial	m y n i s i p j a l
munie	m y n i
munier	m y n j e
munies	m y n i
munificence	m y n i f i s ɑ̃ s
munir	m y n i ʁ
munis	m y n i
munit	m y n i
munition	m y n i s j ɔ̃
munitions	m y n i s j ɔ̃
munro	m y n ʁ o
munster	m œ̃ s t ɛ ʁ
munérophis	m y n e ʁ ɔ f i
muqueuse	m y k ø z
mur	m y ʁ
mur-de-sologne	m y ʁ d ə s ɔ l ɔ ɲ
mura	m y ʁ a
muraient	m y ʁ ɛ
muraille	m y ʁ a j
murailles	m y ʁ a j
murakami	m y ʁ a k a m i
murales	m y ʁ a l
murano	m y ʁ a n o
murat	m y ʁ a
muratori	m y ʁ a t o ʁ i
murau	m y ʁ o
murchison	m y ʁ k i z ɔ n
murcia	m y ʁ s j a
mureaux	m y ʁ o
muret	m y ʁ ɛ
murets	m y ʁ ɛ
murger	m y ʁ ʒ e
muriel	m y ʁ j ɛ l
murillo	m y ʁ i l o
muriot	m y ʁ j o
murir	m y ʁ i ʁ
murlets	m y ʁ l ɛ
murlins	m y ʁ l ɛ̃
murmura	m y ʁ m y ʁ a
murmura-t-elle	m y ʁ m y ʁ a t ɛ l
murmura-t-il	m y ʁ m y ʁ a t i l
murmurai-je	m y ʁ m y ʁ e ʒ
murmuraient	m y ʁ m y ʁ ɛ
murmurait	m y ʁ m y ʁ ɛ
murmurait-elle	m y ʁ m y ʁ ɛ t ɛ l
murmurait-il	m y ʁ m y ʁ ɛ t i l
murmurant	m y ʁ m y ʁ ɑ̃
murmurantes	m y ʁ m y ʁ ɑ̃ t
murmure	m y ʁ m y ʁ
murmurent	m y ʁ m y ʁ
murmurer	m y ʁ m y ʁ e
murmurerons	m y ʁ m y ʁ ə ʁ ɔ̃
murmures	m y ʁ m y ʁ
murmurèrent	m y ʁ m y ʁ ɛ ʁ
murmurèrent-ils	m y ʁ m y ʁ ɛ ʁ t i l
murmuré	m y ʁ m y ʁ e
murmurée	m y ʁ m y ʁ e
murmurées	m y ʁ m y ʁ e
murol	m y ʁ ɔ l
muros	m y ʁ o s
murph	m œ ʁ f
murray	m y ʁ e
murs	m y ʁ
murthy	m y ʁ t i
murviel-lès-béziers	m y ʁ v j ɛ l l ɛ b e z j e
murène	m y ʁ ɛ n
murènes	m y ʁ ɛ n
murènes-congres	m y ʁ ɛ n k ɔ̃ ɡ ʁ
muré	m y ʁ e
murée	m y ʁ e
murées	m y ʁ e
mus	m y
musaraignes	m y z a ʁ ɛ ɲ
musard	m y z a ʁ
musardière	m y z a ʁ d j ɛ ʁ
musc	m y s k
muscade	m y s k a d
muscades	m y s k a d
muscadier	m y s k a d j e
muscadin	m y s k a d ɛ̃
muscadière	m y s k a d j ɛ ʁ
muscle	m y s k l
muscles	m y s k l
musclé	m y s k l e
muscu	m y s k y
musculaire	m y s k y l ɛ ʁ
musculaires	m y s k y l ɛ ʁ
musculation	m y s k y l a s j ɔ̃
muscules	m y s k y l
musculeuses	m y s k y l ø z
musculeux	m y s k y l ø
muse	m y z
museau	m y z o
museler	m y z l e
muselière	m y z ə l j ɛ ʁ
muselé	m y z ə l e
muselés	m y z ə l e
muses	m y z
musette	m y z ɛ t
musettes	m y z ɛ t
museum	m y z œ m
musi	m y z i
musical	m y z i k a l
musicale	m y z i k a l
musicalement	m y z i k a l m ɑ̃
musicales	m y z i k a l
musicaux	m y z i k o
musicien	m y z i s j ɛ̃
musicienne	m y z i s j ɛ n
musiciens	m y z i s j ɛ̃
musicothérapie	m y z i k ɔ t e ʁ a p i
musigrain	m y z i ɡ ʁ ɛ̃
musique	m y z i k
musique-là	m y z i k l a
musiques	m y z i k
musqué	m y s k e
musqués	m y s k e
muss	m u s
musselburgh	m y s ɛ l b œ ʁ ɡ
musset	m y s ɛ t
mussidan	m y s i d a n
musso	m y s o
mussolini	m y s ɔ l i n i
must	m ø s t
mustang	m y s t ɑ̃ ɡ
mustapha	m u s t a f a
musulman	m y z y l m ɑ̃
musulmane	m y z y l m a n
musulmanes	m y z y l m a n
musulmans	m y z y l m ɑ̃
musé	m y z e
musée	m y z e
musées	m y z e
muséifié	m y z e i f j e
muséographie	m y z e ɔ ɡ ʁ a f i
muséum	m y z e ɔ m
muséums	m y z e ɔ m
mutandis	m y t ɑ̃ d i
mutation	m y t a s j ɔ̃
mutations	m y t a s j ɔ̃
mutatis	m y t a t i
mutilaient	m y t i l ɛ
mutiler	m y t i l e
mutilé	m y t i l e
mutilée	m y t i l e
mutilées	m y t i l e
mutilés	m y t i l e
mutin	m y t ɛ̃
mutine	m y t i n
mutinerie	m y t i n ʁ i
mutisme	m y t i s m
mutlilingues	m y t l i l ɛ̃ ɡ
mutualisation	m y t y a l i z a s j ɔ̃
mutualisations	m y t ɥ a l i z a s j ɔ̃
mutualiser	m y t ɥ a l i z e
mutualistes	m y t ɥ a l i s t
mutualisés	m y t ɥ a l i z e
mutualité	m y t ɥ a l i t e
mutuel	m y t ɥ ɛ l
mutuelle	m y t ɥ ɛ l
mutuellement	m y t ɥ ɛ l m ɑ̃
mutuels	m y t ɥ ɛ l
muté	m y t e
mutée	m y t e
mutés	m y t e
muy	m ɥ i
muzac	m y z a k
muzene	m u z n
muzias	m u z j a
mué	m ɥ e
muñoz	m ə ɲ o
my	m i
myans	m j ɑ̃
myard	m j a ʁ
mycologie	m i k ɔ l ɔ ʒ i
mydase	m i d a z
mylord	m i l ɔ ʁ
myope	m j ɔ p
myopes	m j ɔ p
myopie	m j ɔ p i
myosotis	m j ɔ z ɔ t i s
myriade	m i ʁ j a d
myriades	m i ʁ j a d
myriam	m i ʁ j a m
myriamètres	m i ʁ j a m ɛ t ʁ
myrianes	m i ʁ j a n
myriel	m i ʁ j ɛ l
myrrhe	m i ʁ
myrrhinus	m i ʁ i n y s
myrtacées	m i ʁ t a s e
myrte	m i ʁ t
myrtes	m i ʁ t
mysis	m i s i
mysore	m i s ɔ ʁ
myspace	m i s p a s
mystification	m i s t i f i k a s j ɔ̃
mystifié	m i s t i f j e
mystifiée	m i s t i f j e
mystique	m i s t i k
mystiques	m i s t i k
mystère	m i s t ɛ ʁ
mystères	m i s t ɛ ʁ
mystérieuse	m i s t e ʁ j ø z
mystérieusement	m i s t e ʁ j ø z m ɑ̃
mystérieuses	m i s t e ʁ j ø z
mystérieux	m i s t e ʁ j ø
mythe	m i t
mythes	m i t
mythification	m i t i f i k a s j ɔ̃
mythique	m i t i k
mytho	m i t o
mythologie	m i t ɔ l ɔ ʒ i
mythologies	m i t ɔ l ɔ ʒ i
mythologique	m i t ɔ l ɔ ʒ i k
mythologiques	m i t ɔ l ɔ ʒ i k
myxomatose	m i k s ɔ m a t o z
mze	m z
mâcha	m a ʃ a
mâchait	m a ʃ ɛ
mâchant	m a ʃ ɑ̃
mâche	m a ʃ
mâchelière	m a ʃ ə l j ɛ ʁ
mâchent	m a ʃ
mâcher	m a ʃ e
mâchez	m a ʃ e
mâchoire	m a ʃ w a ʁ
mâchoires	m a ʃ w a ʁ
mâchonnait	m a ʃ ɔ n ɛ
mâchonnant	m a ʃ ɔ n ɑ̃
mâché	m a ʃ e
mâcon	m a k ɔ̃
mâle	m a l
mâlerie	m a l ʁ i
mâles	m a l
mâlesdes	m a l d
mânes	m a n
mât	m a
mâte	m a t
mâter	m a t e
mâtereau	m a t ə ʁ o
mâtin	m a t ɛ̃
mâtines	m a t i n
mâts	m a
mâture	m a t y ʁ
mâté	m a t e
mævius	m e v j y s
mè	m ɛ
mèche	m ɛ ʃ
mèches	m ɛ ʃ
mègemont	m ɛ ʒ m ɔ̃
mène	m ɛ n
mène-t-elle	m ɛ n t ɛ l
mènent	m ɛ n
mènent-elles	m ɛ n t ɛ l
mènera	m ɛ n ə ʁ a
mènera-t-il	m ɛ n ə ʁ a t i l
mèneraient	m ɛ n ə ʁ ɛ
mènerais	m ɛ n ə ʁ ɛ
mènerait	m ɛ n ə ʁ ɛ
mènerez	m ɛ n ə ʁ e
mènerons	m ɛ n ə ʁ ɔ̃
mère	m ɛ ʁ
mère-grand	m ɛ ʁ ɡ ʁ ɑ̃
mère-là	m ɛ ʁ l a
mère-patrie	m ɛ ʁ p a t ʁ i
mères	m ɛ ʁ
mères-patries	m ɛ ʁ p a t ʁ i
mètre	m ɛ t ʁ
mètre-carré	m ɛ t ʁ ə k a ʁ e
mètres	m ɛ t ʁ
mé	m e
méandres	m e ɑ̃ d ʁ
méandrines	m e ɑ̃ d ʁ i n
mécanicien	m e k a n i s j ɛ̃
mécaniciens	m e k a n i s j ɛ̃
mécanique	m e k a n i k
mécaniquement	m e k a n i k m ɑ̃
mécaniques	m e k a n i k
mécanisation	m e k a n i z a s j ɔ̃
mécaniser	m e k a n i z e
mécanisme	m e k a n i s m
mécanismes	m e k a n i s m
mécanisé	m e k a n i z e
mécanoïdes	m e k a n ɔ i d
méch	m e ʃ
méchamment	m e ʃ a m ɑ̃
méchanceté	m e ʃ ɑ̃ s t e
méchancetés	m e ʃ ɑ̃ s t e
méchant	m e ʃ ɑ̃
méchante	m e ʃ ɑ̃ t
méchantes	m e ʃ ɑ̃ t
méchants	m e ʃ ɑ̃
méchoui	m e ʃ w i
mécompte	m e k ɔ̃ t
mécomptes	m e k ɔ̃ t
méconnais	m e k ɔ n ɛ
méconnaissable	m e k ɔ n ɛ s a b l
méconnaissables	m e k ɔ n ɛ s a b l
méconnaissais	m e k ɔ n ɛ s ɛ
méconnaissance	m e k ɔ n ɛ s ɑ̃ s
méconnaître	m e k ɔ n ɛ t ʁ
méconnu	m e k ɔ n y
méconnue	m e k ɔ n y
méconnues	m e k ɔ n y
méconnus	m e k ɔ n y
mécontent	m e k ɔ̃ t ɑ̃
mécontentait	m e k ɔ̃ t ɑ̃ t ɛ
mécontente	m e k ɔ̃ t ɑ̃ t
mécontentement	m e k ɔ̃ t ɑ̃ t m ɑ̃
mécontentements	m e k ɔ̃ t ɑ̃ t m ɑ̃
mécontenter	m e k ɔ̃ t ɑ̃ t e
mécontentes	m e k ɔ̃ t ɑ̃ t
mécontents	m e k ɔ̃ t ɑ̃
mécrin	m e k ʁ ɛ̃
mécréant	m e k ʁ e ɑ̃
mécène	m e s ɛ n
mécènes	m e s ɛ n
méd	m e d
médaille	m e d a j
